original,expect,result
,,
一五八七三六九零,15873690,15873690
二七九三零一二二,27930122,27930122
八五三零七四九九,85307499,85307499
二六一四九七八七,26149787,26149787
一五九六四八六二,15964862,15964862
四五六九八七二三,45698723,45698723
四八六一五九六四,48615964,48615964
一七八六四五八九,17864589,17864589
一二三加四五六,123加456,123加456
一点一,1.1,1.1
九七八六加三三八四,9786加3384,9786加3384
数字测试一万三千七百零二,数字测试13702,数字测试13702
这台电脑分辨率为一零二四,这台电脑分辨率为1024,这台电脑分辨率为1024
这个后来被称为九三零新政策的措施,这个后来被称为930新政策的措施,这个后来被称为930新政策的措施
电影中梁朝伟扮演的陈永仁的编号二七一四九,电影中梁朝伟扮演的陈永仁的编号27149,电影中梁朝伟扮演的陈永仁的编号27149
这是固话零四二一三三四四一一二二,这是固话042133441122,这是固话042133441122
这是手机八六一八五四四一三九一二一,这是手机8618544139121,这是手机8618544139121
压缩软件七zip,压缩软件7zip,压缩软件7zip
这是一部 iPhone 四s,这是一部 iPhone 4s,这是一部 iPhone 4s
这是一部苹果四s,这是一部苹果4s,这是一部苹果4s
我要玩 gta五,我要玩 gta5,我要玩 gta5
索尼相机 mark五,索尼相机 mark5,索尼相机 mark5
三星 s七,三星 s7,三星 s7
,,
一百零一点二三,101.23,101.23
一百二十三点一一六,123.116,123.116
四百五十六点一四七,456.147,456.147
零点一五九四,0.1594,0.1594
三点一四一五,3.1415,3.1415
零点一一二二三三,0.112233,0.112233
零点一,0.1,0.1
四万零一点九八七,40001.987,40001.987
五十六点八七八,56.878,56.878
零点零零一二三,0.00123,0.00123
零点零零零一,0.0001,0.0001
零点九二零一五,0.92015,0.92015
九百九十九点零零零一,999.0001,999.0001
一万点一二三,10000.123,10000.123
六百六十六点五五五,666.555,666.555
四百四十四点七八九,444.789,444.789
七百八十九点六六六,789.666,789.666
零点一二三四五,0.12345,0.12345
一点零五六四九,1.05649,1.05649
一万零七十六,10076,10076
发电站每天发电三万零二十九度电,发电站每天发电30029度电,发电站每天发电30029度电
银行月交易总额七千九百零三亿元,银行月交易总额7903亿元,银行月交易总额7903亿元
深圳每月平均工资在一万三千元,深圳每月平均工资在13000元,深圳每月平均工资在13000元
我每月交通费用在四百元左右,我每月交通费用在400元左右,我每月交通费用在400元左右
本月开销费用是五万一千三百二十八元,本月开销费用是51328元,本月开销费用是51328元
如果你中了五千万元奖金会分我一半吗,如果你中了5000万元奖金会分我一半吗,如果你中了5000万元奖金会分我一半吗
这个月工资我发了三千五百二十九元,这个月工资我发了3529元,这个月工资我发了3529元
学会了这个技能你至少可以涨薪五千元,学会了这个技能你至少可以涨薪5000元,学会了这个技能你至少可以涨薪5000元
这根水管的长度不超过三十五米,这根水管的长度不超过35米,这根水管的长度不超过35米
四百米是最短的长跑距离,400米是最短的长跑距离,400米是最短的长跑距离
最高的撑杆跳为十一米,最高的撑杆跳为11米,最高的撑杆跳为11米
你生日那天我会送你九百九十九朵玫瑰,你生日那天我会送你999朵玫瑰,你生日那天我会送你999朵玫瑰
给我一双鞋我可以跳九十六米远,给我一双鞋我可以跳96米远,给我一双鞋我可以跳96米远
虽然我们的身高相差三百五十六毫米也不影响我们交往,虽然我们的身高相差356毫米也不影响我们交往,虽然我们的身高相差356毫米也不影响我们交往
我们班的最高总分为五百八十三分,我们班的最高总分为583分,我们班的最高总分为583分
今天考试老师多扣了我二十一分,今天考试老师多扣了我21分,今天考试老师多扣了我21分
我量过这张桌子总长为一点三七米,我量过这张桌子总长为1.37米,我量过这张桌子总长为1.37米
乘务员身高必须超过一百八十五公分,乘务员身高必须超过185公分,乘务员身高必须超过185公分
手机价格不超过一千五百元,手机价格不超过1500元,手机价格不超过1500元
四十一个已正式取消或变相放松了限购,41个已正式取消或变相放松了限购,41个已正式取消或变相放松了限购
四十六个限购城市当中,46个限购城市当中,46个限购城市当中
今年有望超三百亿美元,今年有望超300亿美元,今年有望超300亿美元
这块黄金重达三百二十四点七五克,这块黄金重达324.75克,这块黄金重达324.75克
随便来几个价格十二块五和三十四点五元和二十点一万,随便来几个价格12块五和34.5元和20.1万,随便来几个价格12块五和34.5元和20.1万
除了北京上海广州深圳四个一线城市和三亚之外,除了北京上海广州深圳4个一线城市和三亚之外,除了北京上海广州深圳4个一线城市和三亚之外
单价在三万元的二手房购房个案当中,单价在3万元的二手房购房个案当中,单价在3万元的二手房购房个案当中
,,
百分之三十二点六八,32.68%,32.68%
环比上调百分之一点八六,环比上调1.86%,环比上调1.86%
